Quantity,Sales,Date,Month,Class
4,439.96,1,1,0
9,989.91,2,1,0
6,659.94,3,1,0
7,769.93,4,1,0
5,549.95,5,1,0
6,659.94,6,1,0
7,769.93,7,1,0
3,329.97,8,1,1
11,1209.89,9,1,0
7,769.93,10,1,0
10,1099.9,11,1,0
4,439.96,12,1,0
8,879.92,13,1,0
3,329.97,14,1,1
5,549.95,15,1,0
6,659.94,16,1,0
4,439.96,17,1,0
13,1429.87,18,1,0
1,109.99,19,1,1
5,549.95,20,1,0
8,879.92,21,1,0
9,989.91,22,1,0
12,1319.88,23,1,0
8,879.92,24,1,0
11,1209.89,25,1,0
11,1209.89,26,1,0
7,769.93,27,1,0
8,879.92,28,1,0
5,549.95,29,1,0
7,769.93,30,1,0
3,329.97,31,1,1
10,1099.9,1,2,0
10,1099.9,2,2,0
4,439.96,3,2,1
10,1099.9,4,2,0
11,1209.89,5,2,0
6,659.94,6,2,1
12,1319.88,7,2,0
5,549.95,8,2,1
10,1099.9,9,2,0
4,439.96,10,2,1
10,1099.9,11,2,0
10,1099.9,12,2,0
6,659.94,13,2,1
14,1539.86,14,2,0
12,1319.88,15,2,0
5,549.95,16,2,1
13,1429.87,17,2,0
10,1099.9,18,2,0
9,989.91,19,2,0
5,549.95,20,2,1
11,1209.89,21,2,0
7,769.93,22,2,1
2,219.98,23,2,1
9,989.91,24,2,0
10,1099.9,25,2,0
9,989.91,26,2,0
14,1539.86,27,2,0
7,769.93,28,2,1
9,989.91,1,3,1
12,1319.88,2,3,0
11,1209.89,3,3,0
17,1869.83,4,3,0
10,1099.9,5,3,0
11,1209.89,6,3,0
14,1539.86,7,3,0
9,989.91,8,3,1
12,1319.88,9,3,0
9,989.91,10,3,1
12,1319.88,11,3,0
8,879.92,12,3,1
3,329.97,13,3,1
12,1319.88,14,3,0
14,1539.86,15,3,0
9,989.91,16,3,1
6,659.94,17,3,1
10,1099.9,18,3,0
13,1429.87,19,3,0
11,1209.89,20,3,0
9,989.91,21,3,1
9,989.91,22,3,1
17,1869.83,23,3,0
11,1209.89,24,3,0
11,1209.89,25,3,0
12,1319.88,26,3,0
7,769.93,27,3,1
10,1099.9,28,3,0
9,989.91,29,3,1
6,659.94,30,3,1
11,1209.89,31,3,0
15,1649.85,1,4,0
15,1649.85,2,4,0
11,1209.89,3,4,1
19,2089.81,4,4,0
11,1209.89,5,4,1
13,1429.87,6,4,0
13,1429.87,7,4,0
12,1319.88,8,4,0
10,1099.9,9,4,1
13,1429.87,10,4,0
14,1539.86,11,4,0
10,1099.9,12,4,1
18,1979.82,13,4,0
8,879.92,14,4,1
17,1869.83,15,4,0
6,659.94,16,4,1
9,989.91,17,4,1
14,1539.86,18,4,0
14,1539.86,19,4,0
15,1649.85,20,4,0
14,1539.86,21,4,0
11,1209.89,22,4,1
18,1979.82,23,4,0
13,1429.87,24,4,0
11,1209.89,25,4,1
19,2089.81,26,4,0
10,1099.9,27,4,1
14,1539.86,28,4,0
14,1539.86,29,4,0
9,989.91,30,4,1
13,1429.87,1,5,0
13,1429.87,2,5,0
17,1869.83,3,5,0
10,1099.9,4,5,1
10,1099.9,5,5,1
16,1759.84,6,5,0
10,1099.9,7,5,1
11,1209.89,8,5,0
14,1539.86,9,5,0
13,1429.87,10,5,0
11,1209.89,11,5,0
14,1539.86,12,5,0
12,1319.88,13,5,0
12,1319.88,14,5,0
6,659.94,15,5,1
9,989.91,16,5,1
8,879.92,17,5,1
9,989.91,18,5,1
7,769.93,19,5,1
14,1539.86,20,5,0
10,1099.9,21,5,1
10,1099.9,22,5,1
6,659.94,23,5,1
12,1319.88,24,5,0
14,1539.86,25,5,0
5,549.95,26,5,1
11,1209.89,27,5,0
12,1319.88,28,5,0
14,1539.86,29,5,0
7,769.93,30,5,1
7,770,31,5,1
12,1319.88,1,6,0
9,989.91,2,6,1
13,1429.87,3,6,0
7,769.93,4,6,1
10,1099.9,5,6,1
10,1099.9,6,6,1
16,1759.84,7,6,0
5,549.95,8,6,1
12,1319.88,9,6,0
6,659.94,10,6,1
4,439.96,11,6,1
9,989.91,12,6,1
12,1319.88,13,6,0
6,659.94,14,6,1
15,1649.85,15,6,0
10,1099.9,16,6,1
14,1539.86,17,6,0
10,1099.9,18,6,1
15,1649.85,19,6,0
9,989.91,20,6,1
15,1649.85,21,6,0
4,439.96,22,6,1
12,1319.88,23,6,0
7,769.93,24,6,1
16,1759.84,25,6,0
12,1319.88,26,6,0
12,1319.88,27,6,0
14,1539.86,28,6,0
13,1429.87,29,6,0
11,1209.89,30,6,1
15,1649.85,1,7,0
11,1209.89,2,7,1
7,769.93,3,7,1
7,769.93,4,7,1
12,1319.88,5,7,0
18,1979.82,6,7,0
10,1099.9,7,7,1
8,879.92,8,7,1
10,1099.9,9,7,1
11,1209.89,10,7,1
13,1429.87,11,7,0
12,1319.88,12,7,0
10,1099.9,13,7,1
12,1319.88,14,7,0
15,1649.85,15,7,0
7,769.93,16,7,1
8,879.92,17,7,1
20,2199.8,18,7,0
11,1209.89,19,7,1
10,1099.9,20,7,1
9,989.91,21,7,1
8,879.92,22,7,1
12,1319.88,23,7,0
6,659.94,24,7,1
5,549.95,25,7,1
13,1429.87,26,7,0
6,659.94,27,7,1
8,879.92,28,7,1
9,989.91,29,7,1
12,1319.88,30,7,0
9,989.91,31,7,1
13,1429.87,1,8,0
12,1319.88,2,8,0
9,989.91,3,8,1
13,1429.87,4,8,0
7,769.93,5,8,1
10,1099.9,6,8,0
12,1319.88,7,8,0
14,1539.86,8,8,0
4,439.96,9,8,1
5,549.95,10,8,1
5,549.95,11,8,1
8,879.92,12,8,1
10,1099.9,13,8,0
9,989.91,14,8,1
2,219.98,15,8,1
8,879.92,16,8,1
6,659.94,17,8,1
10,1099.9,18,8,0
8,879.92,19,8,1
11,1209.89,20,8,0
6,659.94,21,8,1
6,659.94,22,8,1
8,879.92,23,8,1
4,439.96,24,8,1
10,1099.9,25,8,0
10,1099.9,26,8,0
7,769.93,27,8,1
9,989.91,28,8,1
10,1099.9,29,8,0
6,659.94,30,8,1
7,769.93,31,8,1
6,659.94,1,9,1
8,879.92,2,9,1
13,1429.87,3,9,0
11,1209.89,4,9,0
8,879.92,5,9,1
8,879.92,6,9,1
10,1099.9,7,9,0
11,1209.89,8,9,0
5,549.95,9,9,1
6,659.94,10,9,1
15,1649.85,11,9,0
5,549.95,12,9,1
13,1429.87,13,9,0
8,879.92,14,9,1
11,1209.89,15,9,0
7,769.93,16,9,1
13,1429.87,17,9,0
11,1209.89,18,9,0
10,1099.9,19,9,0
11,1209.89,20,9,0
9,989.91,21,9,0
7,769.93,22,9,1
13,1429.87,23,9,0
9,989.91,24,9,0
8,879.92,25,9,1
2,219.98,26,9,1
11,1209.89,27,9,0
6,659.94,28,9,1
11,1209.89,29,9,0
11,1209.89,30,9,0
17,1869.83,1,10,0
19,2089.81,2,10,0
12,1319.88,3,10,1
17,1869.83,4,10,0
12,1319.88,5,10,1
15,1649.85,6,10,0
20,2199.8,7,10,0
11,1209.89,8,10,1
13,1429.87,9,10,1
13,1429.87,10,10,1
16,1759.84,11,10,0
10,1099.9,12,10,1
15,1649.85,13,10,0
12,1319.88,14,10,1
10,1099.9,15,10,1
16,1759.84,16,10,0
15,1649.85,17,10,0
14,1539.86,18,10,0
13,1429.87,19,10,1
20,2199.8,20,10,0
17,1869.83,21,10,0
13,1429.87,22,10,1
15,1649.85,23,10,0
8,879.92,24,10,1
10,1099.9,25,10,1
15,1649.85,26,10,0
18,1979.82,27,10,0
11,1209.89,28,10,1
13,1429.87,29,10,1
7,769.93,30,10,1
10,1099.9,31,10,1
18,1979.82,1,11,1
13,1429.87,2,11,1
15,1649.85,3,11,1
9,989.91,4,11,1
19,2089.81,5,11,0
11,1209.89,6,11,1
12,1319.88,7,11,1
10,1099.9,8,11,1
13,1429.87,9,11,1
17,1869.83,10,11,1
9,989.91,11,11,1
16,1759.84,12,11,1
13,1429.87,13,11,1
3,329.97,14,11,1
16,1759.84,15,11,1
18,1979.82,16,11,1
18,1979.82,17,11,1
13,1429.87,18,11,1
11,1209.89,19,11,1
9,989.91,20,11,1
17,1869.83,21,11,1
15,1649.85,22,11,1
11,1209.89,23,11,1
22,2419.78,24,11,0
15,1649.85,25,11,1
11,1209.89,26,11,1
16,1759.84,27,11,1
15,1649.85,28,11,1
15,1649.85,29,11,1
20,2199.8,30,11,0
11,1209.89,1,12,1
18,1979.82,2,12,0
12,1319.88,3,12,1
15,1649.85,4,12,1
23,2529.77,5,12,0
18,1979.82,6,12,0
11,1209.89,7,12,1
15,1649.85,8,12,1
19,2089.81,9,12,0
18,1979.82,10,12,0
18,1979.82,11,12,0
21,2309.79,12,12,0
20,2199.8,13,12,0
14,1539.86,14,12,1
12,1319.88,15,12,1
20,2199.8,16,12,0
18,1979.82,17,12,0
