Demand,Sales,Date,Month,Class
1,600,1,1,1
3,1800,2,1,0
1,600,3,1,1
3,1800,4,1,0
0,0,5,1,1
3,1800,6,1,0
1,600,7,1,1
1,600,8,1,1
0,0,9,1,1
4,2400,10,1,0
0,0,11,1,1
0,0,12,1,1
2,1200,13,1,1
1,600,14,1,1
4,2400,15,1,0
0,0,16,1,1
0,0,17,1,1
2,1200,18,1,1
2,1200,19,1,1
1,600,20,1,1
3,1800,21,1,0
1,600,22,1,1
2,1200,23,1,1
0,0,24,1,1
0,0,25,1,1
1,600,26,1,1
0,0,27,1,1
0,0,28,1,1
0,0,29,1,1
1,600,30,1,1
2,1200,31,1,1
1,600,1,2,1
1,600,2,2,1
1,600,3,2,1
4,2400,4,2,0
0,0,5,2,1
1,600,6,2,1
1,600,7,2,1
3,1800,8,2,0
1,600,9,2,1
0,0,10,2,1
2,1200,11,2,1
3,1800,12,2,0
2,1200,13,2,1
0,0,14,2,1
3,1800,15,2,0
1,600,16,2,1
2,1200,17,2,1
0,0,18,2,1
1,600,19,2,1
0,0,20,2,1
0,0,21,2,1
2,1200,22,2,1
1,600,23,2,1
3,1800,24,2,0
2,1200,25,2,1
0,0,26,2,1
2,1200,27,2,1
1,600,28,2,1
1,600,1,3,1
1,600,2,3,1
0,0,3,3,1
3,1800,4,3,0
1,600,5,3,1
2,1200,6,3,1
2,1200,7,3,1
2,1200,8,3,1
1,600,9,3,1
2,1200,10,3,1
1,600,11,3,1
2,1200,12,3,1
0,0,13,3,1
1,600,14,3,1
0,0,15,3,1
3,1800,16,3,0
2,1200,17,3,1
2,1200,18,3,1
2,1200,19,3,1
1,600,20,3,1
2,1200,21,3,1
1,600,22,3,1
2,1200,23,3,1
4,2400,24,3,0
1,600,25,3,1
2,1200,26,3,1
0,0,27,3,1
0,0,28,3,1
4,2400,29,3,0
3,1800,30,3,0
2,1200,31,3,1
2,1200,1,4,1
2,1200,2,4,1
2,1200,3,4,1
3,1800,4,4,0
2,1200,5,4,1
4,2400,6,4,0
1,600,7,4,1
0,0,8,4,1
3,1800,9,4,0
3,1800,10,4,0
2,1200,11,4,1
3,1800,12,4,0
3,1800,13,4,0
5,3000,14,4,0
2,1200,15,4,1
3,1800,16,4,0
3,1800,17,4,0
4,2400,18,4,0
7,4200,19,4,0
2,1200,20,4,1
5,3000,21,4,0
2,1200,22,4,1
3,1800,23,4,0
3,1800,24,4,0
4,2400,25,4,0
0,0,26,4,1
1,600,27,4,1
1,600,28,4,1
1,600,29,4,1
1,600,30,4,1
4,2400,1,5,0
2,1200,2,5,1
0,0,3,5,1
2,1200,4,5,1
0,0,5,5,1
2,1200,6,5,1
4,2400,7,5,0
6,3600,8,5,0
3,1800,9,5,0
3,1800,10,5,0
0,0,11,5,1
2,1200,12,5,1
2,1200,13,5,1
3,1800,14,5,0
3,1800,15,5,0
1,600,16,5,1
4,2400,17,5,0
2,1200,18,5,1
2,1200,19,5,1
3,1800,20,5,0
2,1200,21,5,1
3,1800,22,5,0
5,3000,23,5,0
2,1200,24,5,1
1,600,25,5,1
4,2400,26,5,0
3,1800,27,5,0
