Quantity,Sales,Month,Date,Class
42,125.58,1,1,0
30,89.7,2,1,1
32,95.68,3,1,1
28,83.72,4,1,1
39,116.61,5,1,0
35,104.65,6,1,0
32,95.68,7,1,1
32,95.68,8,1,1
33,98.67,9,1,1
35,104.65,10,1,0
29,86.71,11,1,1
44,131.56,12,1,0
45,134.55,13,1,0
32,95.68,14,1,1
38,113.62,15,1,0
37,110.63,16,1,0
37,110.63,17,1,0
34,101.66,18,1,1
29,86.71,19,1,1
39,116.61,20,1,0
32,95.68,21,1,1
47,140.53,22,1,0
28,83.72,23,1,1
39,116.61,24,1,0
30,89.7,25,1,1
37,110.63,26,1,0
31,92.69,27,1,1
32,95.68,28,1,1
44,131.56,29,1,0
33,98.67,30,1,1
27,80.73,31,1,1
51,152.49,1,2,0
43,128.57,2,2,1
36,107.64,3,2,1
49,146.51,4,2,0
37,110.63,5,2,1
43,128.57,6,2,1
49,146.51,7,2,0
42,125.58,8,2,1
35,104.65,9,2,1
67,200.33,10,2,0
48,143.52,11,2,0
47,140.53,12,2,0
67,200.33,13,2,0
53,158.47,14,2,0
45,134.55,15,2,0
49,146.51,16,2,0
50,149.5,17,2,0
48,143.52,18,2,0
47,140.53,19,2,0
55,164.45,20,2,0
41,122.59,21,2,1
52,155.48,22,2,0
49,146.51,23,2,0
57,170.43,24,2,0
55,164.45,25,2,0
33,98.67,26,2,1
38,113.62,27,2,1
38,113.62,28,2,1
39,116.61,1,3,1
58,173.42,2,3,0
53,158.47,3,3,0
37,110.63,4,3,1
70,209.3,5,3,0
52,155.48,6,3,0
42,125.58,7,3,1
53,158.47,8,3,0
54,161.46,9,3,0
47,140.53,10,3,0
57,170.43,11,3,0
58,173.42,12,3,0
51,152.49,13,3,0
46,137.54,14,3,1
57,170.43,15,3,0
56,167.44,16,3,0
59,176.41,17,3,0
43,128.57,18,3,1
58,173.42,19,3,0
59,176.41,20,3,0
51,152.49,21,3,0
58,173.42,22,3,0
56,167.44,23,3,0
51,152.49,24,3,0
59,176.41,25,3,0
55,164.45,26,3,0
60,179.4,27,3,0
55,164.45,28,3,0
49,146.51,29,3,0
49,146.51,30,3,0
53,158.47,31,3,0
60,179.4,1,4,1
67,200.33,2,4,1
57,170.43,3,4,1
67,200.33,4,4,1
65,194.35,5,4,1
57,170.43,6,4,1
59,176.41,7,4,1
73,218.27,8,4,0
58,173.42,9,4,1
61,182.39,10,4,1
64,191.36,11,4,1
72,215.28,12,4,0
75,224.25,13,4,0
58,173.42,14,4,1
59,176.41,15,4,1
59,176.41,16,4,1
68,203.32,17,4,1
74,221.26,18,4,0
66,197.34,19,4,1
72,215.28,20,4,0
76,227.24,21,4,0
74,221.26,22,4,0
60,179.4,23,4,1
66,197.34,24,4,1
65,194.35,25,4,1
63,188.37,26,4,1
77,230.23,27,4,0
67,200.33,28,4,1
71,212.29,29,4,0
79,236.21,30,4,0
55,164.45,1,5,0
51,152.49,2,5,1
50,149.5,3,5,1
50,149.5,4,5,1
69,206.31,5,5,0
67,200.33,6,5,0
69,206.31,7,5,0
63,188.37,8,5,0
60,179.4,9,5,0
65,194.35,10,5,0
59,176.41,11,5,0
64,191.36,12,5,0
64,191.36,13,5,0
69,206.31,14,5,0
57,170.43,15,5,0
61,182.39,16,5,0
66,197.34,17,5,0
53,158.47,18,5,1
69,206.31,19,5,0
66,197.34,20,5,0
59,176.41,21,5,0
70,209.3,22,5,0
60,179.4,23,5,0
50,149.5,24,5,1
57,170.43,25,5,0
62,185.38,26,5,0
58,173.42,27,5,0
63,188.37,28,5,0
65,194.35,29,5,0
68,203.32,30,5,0
55,164.45,31,5,0
53,158.47,1,6,0
61,182.39,2,6,0
36,107.64,3,6,1
64,191.36,4,6,0
56,167.44,5,6,0
54,161.46,6,6,0
41,122.59,7,6,1
49,146.51,8,6,0
45,134.55,9,6,1
48,143.52,10,6,1
60,179.4,11,6,0
46,137.54,12,6,1
61,182.39,13,6,0
46,137.54,14,6,1
45,134.55,15,6,1
51,152.49,16,6,0
43,128.57,17,6,1
52,155.48,18,6,0
43,128.57,19,6,1
48,143.52,20,6,1
38,113.62,21,6,1
50,149.5,22,6,0
40,119.6,23,6,1
51,152.49,24,6,0
41,122.59,25,6,1
56,167.44,26,6,0
38,113.62,27,6,1
47,140.53,28,6,1
44,131.56,29,6,1
44,131.56,30,6,1
41,122.59,1,7,1
48,143.52,2,7,1
36,107.64,3,7,1
44,131.56,4,7,1
68,203.32,5,7,0
42,125.58,6,7,1
60,179.4,7,7,0
57,170.43,8,7,0
57,170.43,9,7,0
52,155.48,10,7,0
39,116.61,11,7,1
50,149.5,12,7,1
49,146.51,13,7,1
43,128.57,14,7,1
48,143.52,15,7,1
48,143.52,16,7,1
39,116.61,17,7,1
52,155.48,18,7,0
54,161.46,19,7,0
56,167.44,20,7,0
31,92.69,21,7,1
52,155.48,22,7,0
53,158.47,23,7,0
40,119.6,24,7,1
55,164.45,25,7,0
59,176.41,26,7,0
56,167.44,27,7,0
45,134.55,28,7,1
59,176.41,29,7,0
63,188.37,30,7,0
63,188.37,31,7,0
46,137.54,1,8,1
37,110.63,2,8,1
41,122.59,3,8,1
44,131.56,4,8,1
43,128.57,5,8,1
50,149.5,6,8,0
54,161.46,7,8,0
42,125.58,8,8,1
39,116.61,9,8,1
47,140.53,10,8,1
45,134.55,11,8,1
50,149.5,12,8,0
39,116.61,13,8,1
45,134.55,14,8,1
42,125.58,15,8,1
43,128.57,16,8,1
40,119.6,17,8,1
43,128.57,18,8,1
53,158.47,19,8,0
33,98.67,20,8,1
41,122.59,21,8,1
50,149.5,22,8,0
38,113.62,23,8,1
38,113.62,24,8,1
34,101.66,25,8,1
44,131.56,26,8,1
35,104.65,27,8,1
51,152.49,28,8,0
49,146.51,29,8,0
34,101.66,30,8,1
50,149.5,31,8,0
72,215.28,1,9,0
70,209.3,2,9,0
54,161.46,3,9,1
72,215.28,4,9,0
54,161.46,5,9,1
77,230.23,6,9,0
58,173.42,7,9,1
56,167.44,8,9,1
70,209.3,9,9,0
74,221.26,10,9,0
64,191.36,11,9,0
58,173.42,12,9,1
55,164.45,13,9,1
79,236.21,14,9,0
58,173.42,15,9,1
66,197.34,16,9,0
78,233.22,17,9,0
67,200.33,18,9,0
76,227.24,19,9,0
48,143.52,20,9,1
84,251.16,21,9,0
64,191.36,22,9,0
60,179.4,23,9,1
64,191.36,24,9,0
61,182.39,25,9,1
53,158.47,26,9,1
65,194.35,27,9,0
